STN_ID,SITE_CODE,WELL_NAME,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,SWN,WCR_NO,LATITUDE,LONGITUDE,WELL_USE,WELL_TYPE,WELL_DEPTH,TOP_PRF,BOT_PRF,LAST_GSE,LAST_RPE,SMC_START_DATE,SMC_MT,SMC_IM_5_YR,SMC_IM_10_YR,SMC_IM_15_YR,SMC_MO,COMMENTS,FIRST_MSMT_DATE,LAST_MSMT_DATE,MSMT_COUNT
2151,376141N1210577W001,Paradise 235,5-022.02 Modesto,Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters,Land Subsidence",Western Upper,04S08E02L001M,381803,37.6142,-121.058,Irrigation,Single Well,258,96,132,73.7,73.9,2022-01-31 15:38:01,34,,,,41,Top of pad used as GS.  Open bottom well cased to 136'.   Drilled 1991,1991-02-01 00:00:00,2024-02-27 00:00:00,68
2297,344003N1187931W001,04N18W29M02S,4-004.06 Piru,Fillmore and Piru Basins GSA - Piru,,SGMA,"Groundwater Levels,Groundwater Storage",,04N18W29M002S,,34.4008,-118.793,Irrigation,Single Well,142,,,635.5,636.7,,,,,,,,1968-03-21 12:00:00,2023-11-30 12:00:00,1486
2302,343917N1188120W002,04N18W31D04S,4-004.06 Piru,Fillmore and Piru Basins GSA - Piru,,SGMA Representative,"Groundwater Levels,Groundwater Storage",B,04N18W31D004S,,34.3929,-118.813,Observation,Part of a nested/multi-completion well,330,310,330,596.25,597.5,2022-01-26 12:39:40,269,,,,580,,1994-05-23 12:00:00,2023-11-13 12:00:00,483
2756,343258N1189106W001,03N19W19P02S,4-008 Las Posas Valley,Fox Canyon Groundwater Management Agency GSA - Las Posas Valley,,SGMA,Groundwater Levels,,03N19W19P002S,,34.3259,-118.911,Industrial,Single Well,1100,865,1095,1060.57,1060.57,,,,,,,,1975-06-05 00:00:00,2023-10-17 00:00:00,254
2757,343156N1188945W001,03N19W29F06S,4-008 Las Posas Valley,Fox Canyon Groundwater Management Agency GSA - Las Posas Valley,,SGMA,"Groundwater Levels,Groundwater Storage,Water Quality",,03N19W29F006S,,34.3155,-118.894,Irrigation,Single Well,505,222,505,856.321,857.821,2020-01-13 15:53:02,555,581,583,584,585,,1983-06-13 00:00:00,2023-10-17 00:00:00,217
2801,343811N1189034W001,04N19W31R01S,4-004.05 Fillmore,Fillmore and Piru Basins GSA - Fillmore,,SGMA,"Groundwater Levels,Groundwater Storage",,04N19W31R001S,,34.3809,-118.903,Irrigation,Single Well,140,60,137,446.39,448.85,,,,,,,,1972-10-25 00:00:00,2023-10-10 12:00:00,280
2816,344558N1192065W001,04N22W05L008S,4-002 Ojai Valley,Ojai Basin Groundwater Management Agency GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",,04N22W05L008S,,34.4555,-119.206,Irrigation,Single Well,525,250,525,893.149,894.639,2022-01-31 10:45:37,576.3,,,,576.3,,1949-10-04 00:00:00,2023-09-21 00:00:00,457
2837,344550N1192406W001,04N23W01K002S,4-002 Ojai Valley,Ojai Basin Groundwater Management Agency GSA,,SGMA,"Groundwater Levels,Groundwater Storage,Water Quality",,04N23W01K002S,,34.4551,-119.241,Residential,Single Well,142,90,130,788.306,788.906,,,,,,,,1972-12-06 00:00:00,2023-09-21 00:00:00,280
2838,344522N1192837W001,Private,4-003.01 Upper Ventura River,Upper Ventura River Groundwater Agency GSA,,SGMA,Groundwater Levels,Alluvial Aquifer,04N23W03M001S,,34.4525,-119.284,Residential,Single Well,172,100,160,762,763.37,,,,,,,,1972-10-04 00:00:00,2023-09-19 12:00:00,281
2877,375796N1210124W001,TID 139,5-022.03 Turlock,West Turlock Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Western Upper,04S09E19A001M,,37.5796,-121.012,Other,Single Well,280,0.5,189,74.42,74.42,2022-01-28 13:28:01,40,,,,53,Unconfined. No blue clay in well geological layers.,1960-12-01 00:00:00,2023-11-01 10:28:00,89
2971,342708N1189562W001,02N20W10J01S,4-008 Las Posas Valley,Fox Canyon Groundwater Management Agency GSA - Las Posas Valley,,SGMA,"Groundwater Levels,Groundwater Storage,Water Quality",,02N20W10J001S,,34.271,-118.956,Irrigation,Single Well,566,500,540,409.159,409.459,2020-01-13 15:53:02,110,,,,250,,1972-10-04 00:00:00,2023-10-17 00:00:00,282
3336,341256N1191615W003,01N22W35E03S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Water Quality",,01N22W35E003S,,34.1258,-119.162,Observation,Part of a nested/multi-completion well,470,420,470,7.965,14.045,,,,,,,,1990-03-09 00:00:00,2023-11-28 00:00:00,154
3338,341256N1191615W005,01N22W35E05S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Water Quality",,01N22W35E005S,,34.1258,-119.162,Observation,Part of a nested/multi-completion well,220,200,220,7.965,14.045,,,,,,,,1990-03-09 00:00:00,2023-11-28 00:00:00,145
3344,341242N1191331W005,01N22W36K09S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Water Quality",,01N22W36K009S,,34.1243,-119.133,Observation,Part of a nested/multi-completion well,195,175,195,8.218,10.362,,,,,,,,1990-10-22 00:00:00,2023-11-30 00:00:00,312
3551,376735N1208752W001,Wellsford 233,5-022.02 Modesto,Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Eastern,03S10E16K001M,306646,37.6736,-120.875,Irrigation,Single Well,468,158,358,141.9,142,2022-01-31 15:38:01,62,,,,77,Top of pad used as GS.  Open bottom Well Cased to 358'.  Drilled 1988,1991-02-01 00:00:00,2024-02-27 00:00:00,67
3552,376743N1208913W001,Head Lateral 3  215,5-022.02 Modesto,Stanislaus and Tuolumne Rivers Groundwater Basin Association GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Eastern,03S10E17K001M,55601,37.6744,-120.891,Irrigation,Single Well,476,116,400,135.8,135.6,2022-01-31 15:38:01,56,,,,73,Top of pad used as GS.  Open bottom Well Cased to 400',1963-03-01 00:00:00,2024-02-27 00:00:00,120
3667,342689N1191256W001,02N21W07L03S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Groundwater Storage,Land Subsidence,Seawater Intrusion,Water Quality",,02N21W07L003S,,34.2692,-119.126,Observation,Part of a nested/multi-completion well,700,640,700,145.851,149.354,2020-01-13 13:31:25,17,-10,6,22,37,,1991-03-22 00:00:00,2023-11-15 00:00:00,257
3833,342128N1190681W002,02N21W34G03S,4-006 Pleasant Valley,Fox Canyon Groundwater Management Agency GSA - Pleasant Valley,,SGMA,"Groundwater Levels,Groundwater Storage,Land Subsidence,Seawater Intrusion,Water Quality",,02N21W34G003S,,34.2129,-119.068,Observation,Part of a nested/multi-completion well,860,800,860,93.588,94.838,2020-01-13 15:44:30,-53,-90,-60,-30,0,,1990-08-01 00:00:00,2023-11-21 00:00:00,230
3834,342128N1190681W004,02N21W34G05S,4-006 Pleasant Valley,Fox Canyon Groundwater Management Agency GSA - Pleasant Valley,,SGMA,"Groundwater Levels,Groundwater Storage,Land Subsidence,Seawater Intrusion,Water Quality",,02N21W34G005S,,34.2129,-119.068,Observation,Part of a nested/multi-completion well,190,170,190,93.588,94.838,2020-01-13 15:44:30,32,2,15,28,40,,1990-08-01 00:00:00,2023-11-30 00:00:00,283
4399,342575N1191520W001,02N22W14G05S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Water Quality",,02N22W14G005S,,34.2578,-119.152,Observation,Part of a nested/multi-completion well,190,185,190,115.381,117.181,,,,,,,,1993-01-28 00:00:00,2023-11-20 00:00:00,211
4554,342469N1191512W007,02N22W23B09S,4-004.02 Oxnard,Fox Canyon Groundwater Management Agency GSA - Oxnard,,SGMA,"Groundwater Levels,Water Quality",,02N22W23B009S,,34.247,-119.151,Observation,Part of a nested/multi-completion well,97,75,95,110.578,110.581,,,,,,,,1992-12-15 00:00:00,2023-11-20 00:00:00,221
4654,378402N1208710W001,01S10E21A001M(P-02),5-022.01 Eastern San Joaquin,Oakdale Irrigation District GSA,,SGMA,Groundwater Levels,,01S10E21A001M,,37.8402,-120.871,Irrigation,Single Well,400,,,226.14,226.315,,,,,,,,1944-03-01 00:00:00,2024-03-05 09:00:00,134
4656,378163N1208321W001,01S10E26J001M,5-022.01 Eastern San Joaquin,Eastside San Joaquin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters,Land Subsidence",,01S10E26J001M,,37.8163,-120.832,Unknown,Single Well,,,,212.5,212.5,2020-01-29 14:29:12,43.7,81.7,81.7,81.7,81.7,,1950-10-01 00:00:00,2023-09-25 09:30:00,113
4805,384838N1226715W001,SRP0108,1-055.03 Rincon Valley,Santa Rosa Plain GSA,,SGMA,"Groundwater Levels,Groundwater Storage",Shallow,07N07W06H002M,144212,38.4838,-122.671,Residential,Single Well,100,,,297.86,298.86,,,,,,,,1989-11-08 00:00:00,2022-10-15 00:00:00,99
4824,382913N1213131W001,SCGA #25,5-022.16 Cosumnes,Sloughhouse Resource Conservation District GSA - Cosumnes,,SGMA Representative,"Groundwater Levels,Groundwater Storage",,05N06E10P001M,64517,38.2913,-121.313,Irrigation,Single Well,384,169,361,43.5,44.8,2022-01-27 18:42:53,-65,-56,-57,-56,-55,Network ID: RMW-WL1. DWR Surveyed well in 2022.,1963-05-10 00:00:00,2024-03-15 00:00:00,238
5489,384637N1227767W001,SRP0058,1-055.01 Santa Rosa Plain,Santa Rosa Plain GSA,,SGMA,"Groundwater Levels,Groundwater Storage",Deep,07N08W08M001M,111038,38.4634,-122.777,Residential,Single Well,220,,,133.81,135.81,,,,,,,DWR Surveyed well in 2022.,1989-11-01 00:00:00,2024-03-13 00:00:00,125
6027,382454N1217027W001,05N02E25K001M,5-021.66 Solano,Solano Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters",,05N02E25K001M,346,38.2454,-121.703,Unknown,Single Well,100,76,100,2.45,3.55,2022-01-27 17:57:49,11.9,4.12,4.12,4.12,4.12,,1974-04-04 00:00:00,2023-10-15 00:00:00,130
6267,382712N1226147W001,PET0033,2-001 Petaluma Valley,Petaluma Valley GSA,,SGMA,Groundwater Levels,,05N07W15Q001M,107934,38.2716,-122.615,Residential,Single Well,200,,,120.73,121.73,,,,,,,DWR Surveyed well in 2022.,1989-12-01 00:00:00,2024-03-14 00:00:00,350
6291,337136N1171251W001,EMWD11119,8-005 San Jacinto,West San Jacinto GSA,,SGMA,Groundwater Levels,Principal,05S02W30B001S,,33.7139,-117.125,Observation,Single Well,70,50,70,1464.78,1466.18,2021-11-17 12:16:34,,,,,,,1995-05-23 00:00:00,2023-10-05 00:31:00,29
6755,377341N1213039W001,Well N,5-022.15 Tracy,County of San Joaquin GSA - Tracy,,SGMA Representative,Groundwater Levels,Upper Aquifer,02S06E27E001M,,37.7341,-121.304,Residential,Single Well,40,,,22.36,23.36,2022-01-28 15:01:43,5,7,7,7,7,WELL CONSTRUCTION INFORMATION CONFIRMED AS OF: 2/1/2011,1960-03-11 00:00:00,2023-10-15 13:00:00,107
6816,376013N1206863W001,ETSGSA-06,5-022.03 Turlock,East Turlock Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence",Eastern,04S12E07J001M,,37.6009,-120.686,Irrigation,Single Well,375,120,244,191.73,195.2,2022-01-28 13:28:01,30,11,30,43,56,Survey April 2023 resulted in -0.7' change in RPE.,1971-03-23 00:00:00,2023-11-06 15:22:00,95
6837,375477N1206182W001,EWD-01 (identified as EWD-13 in ETSGSA),5-022.03 Turlock,East Turlock Subbasin GSA,,SGMA,"Groundwater Levels,Groundwater Storage,Land Subsidence",,04S12E35C001M,E00304065,37.5474,-120.618,Irrigation,Single Well,600,400,600,260.67,260.97,,,,,,,Survey April 2023 resulted in -3.0' change in RPE.,1999-04-14 00:00:00,2023-11-07 11:06:00,96
6859,384635N1224182W001,07N05W09Q002M,2-002.01 Napa Valley,County of Napa GSA,,SGMA Representative,"Groundwater Levels,Land Subsidence",Qa,07N05W09Q002M,,38.4635,-122.418,Unknown,Single Well,232,,,157.74,158.74,2022-01-31 07:11:17,126,133,133,133,133,Well was removed in November 2020 from the DWR network due to lack of well construction details.,1949-10-21 00:00:00,2023-10-16 00:00:00,635
6994,337047N1172032W002,EMWD14452,8-005 San Jacinto,West San Jacinto GSA,,SGMA,Groundwater Levels,Principal,05S03W28M002S,,33.7051,-117.202,Observation,Part of a nested/multi-completion well,370,365,370,1412.81,1412.71,2021-11-17 12:16:34,,,,,,,1991-01-31 00:00:00,2023-10-10 00:57:00,37
7477,382716N1224496W001,05N05W18R001M,2-002.02 Sonoma Valley,Sonoma Valley GSA,,SGMA,"Groundwater Levels,Groundwater Storage",,05N05W18R001M,104,38.2716,-122.45,Unknown,Single Well,150,,,45.427,45.442,,,,,,,,1966-02-15 00:00:00,2024-03-13 00:00:00,351
9685,386622N1218534W001,09N01E03C003M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,09N01E03C003M,57-366,38.6622,-121.853,Irrigation,Single Well,567,50,524,102.04,101.05,2022-01-28 20:40:33,-56.4,19.3,19.3,19.3,19.3,,1941-04-29 00:00:00,2023-09-18 00:00:00,175
9703,386484N1219151W001,09N01E07D001M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,09N01E07D001M,57-376,38.6484,-121.915,Irrigation,Single Well,432,160,205,123.69,124.52,2022-01-28 20:40:33,68.3,111.1,111.1,111.1,111.1,,1952-04-17 00:00:00,2023-09-26 00:00:00,150
9925,386180N1219524W001,09N01W23D001M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,09N01W23D001M,072976,38.618,-121.952,Irrigation,Single Well,362,219,362,146.25,146.34,2022-01-28 20:40:33,82.9,135.8,135.8,135.8,135.8,,1981-11-23 00:00:00,2023-09-20 00:00:00,87
10437,385021N1214948W001,RMP_24,5-021.65 South American,County of Sacramento GSA - South American,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters",South American Subbasin aquifer,08N04E36L001M,215,38.5021,-121.495,Residential,Single Well,172,,,7.51,8.51,2022-01-27 10:23:52,-12,-10,-9,-8,-7,,1965-03-19 00:00:00,2023-10-12 10:15:00,112
10720,350308N1188465W001,RMW-WWB-004,5-022.18 White Wolf,White Wolf GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Principal Aquifer,11N18W19D001S,74109,35.0307,-118.846,Irrigation,Single Well,984,432,978,717.89,720.1,2022-01-28 13:59:09,103,127,115,133,151,,1958-09-24 00:00:00,2024-03-07 11:00:00,113
11059,386713N1220055W001,10N01W32E001M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,10N01W32E001M,,38.6713,-122.005,Irrigation,Single Well,188,,,188.79,188.79,2022-01-28 20:40:33,144.5,169.9,169.9,169.9,169.9,,1948-12-28 00:00:00,2023-09-26 00:00:00,165
11565,371560N1202063W001,MCE RMS-1,5-022.05 Chowchilla,County of Madera GSA - Chowchilla,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Land Subsidence,Water Quality",Lower,09S16E15B001M,,37.156,-120.206,Unknown,Single Well,,,,276.71,277.71,2020-01-29 14:52:01,-91,-69,-73,-80,-20,,1987-01-30 00:00:00,2023-10-31 08:45:00,52
11660,387374N1221558W001,10N03W02R002M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,10N03W02R002M,,38.7374,-122.156,Residential,Single Well,55,,,337.52,338.14,2022-01-28 20:40:33,308.2,319.5,319.5,319.5,319.5,,1984-03-09 00:00:00,2023-09-21 00:00:00,83
12444,387200N1219055W001,10N01E18C001M,5-021.67 Yolo,Yolo Subbasin GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Tehama Formation,10N01E18C001M,57-291,38.72,-121.906,Stockwatering,Single Well,110,,,194.38,194.44,2022-01-28 20:40:33,132.8,143.1,143.1,143.1,143.1,,1952-04-22 00:00:00,2023-10-16 00:00:00,153
13285,370202N1205349W001,MCW RMS-2,5-022.05 Chowchilla,County of Madera GSA - Chowchilla,,SGMA Representative,"Groundwater Levels,Groundwater Storage,Interconnected Surface Waters",Upper,10S13E34G001M,,37.0202,-120.535,Unknown,Single Well,,,,123.27,123.27,2020-01-29 14:52:01,42,90,89,87,92,,1964-02-12 00:00:00,2023-10-30 13:05:00,96
13428,369777N1205799W001,1011 (CCID Well 11),5-022.07 Delta-Mendota,San Joaquin River Exchange Contractors GSA,DM_SJREC_Adopted,SGMA Representative,"Groundwater Levels,Groundwater Storage",,11S13E17E001M,E067194,36.9777,-120.58,Irrigation,Single Well,175,60,170,120,123.7,2020-01-23 13:30:54,74.5,,,,92.24,,1960-01-01 00:00:00,2023-09-01 09:41:00,66
13521,366667N1206227W001,14S/12E-35J01,5-022.09 Westside,Westlands Water District GSA,,SGMA Representative,"Groundwater Levels,Groundwater Storage",Lower Aquifer,14S12E35J001M,,36.6665,-120.622,Irrigation,Single Well,1035,654,1035,435.8,435.8,2020-01-23 17:17:26,-110.2,-95,-79.7,-64.5,-49.3,9/25/2014 changed GSE from 433.0 (NGVD29 ) to 435.8 (NAVD88).,1968-12-16 00:00:00,2023-10-26 15:43:00,49
